timestamp,gpu_temp,resolution,percentage,actual_fps,gpu_load,cpu_load
1970-01-01 02:39:35.857,57.406,640,1.0,23.71,95.1,18.9
1970-01-01 02:39:36.361,57.281,640,1.0,24.41,91.8,19.3
1970-01-01 02:39:36.868,57.375,640,1.0,24.56,51.0,18.9
1970-01-01 02:39:37.371,57.375,640,1.0,23.83,44.5,18.9
1970-01-01 02:39:37.877,57.625,640,1.0,24.45,94.6,17.4
1970-01-01 02:39:38.382,57.406,640,1.0,23.34,84.0,17.5
1970-01-01 02:39:38.888,57.312,640,1.0,24.52,85.1,18.0
1970-01-01 02:39:39.392,57.187,640,1.0,24.01,95.4,18.9
1970-01-01 02:39:39.898,57.5,640,1.0,23.45,58.4,19.6
1970-01-01 02:39:40.402,57.406,640,1.0,24.03,69.9,18.9
1970-01-01 02:39:40.909,57.656,640,1.0,23.68,63.8,20.5
1970-01-01 02:39:41.412,57.281,640,1.0,24.49,50.4,19.8
1970-01-01 02:39:41.919,57.468,640,1.0,23.68,97.7,19.2
1970-01-01 02:39:42.422,57.187,640,1.0,24.35,89.7,20.0
1970-01-01 02:39:42.929,57.625,640,1.0,23.60,55.8,18.8
1970-01-01 02:39:43.432,57.437,640,1.0,24.66,95.6,19.6
1970-01-01 02:39:43.939,57.468,640,1.0,23.21,82.3,21.9
1970-01-01 02:39:44.442,57.343,640,1.0,24.40,67.4,19.1
1970-01-01 02:39:44.948,57.375,640,1.0,24.19,79.2,19.4
1970-01-01 02:39:45.452,57.468,640,1.0,23.93,63.5,19.5
1970-01-01 02:39:45.958,57.531,640,1.0,25.00,54.7,21.5
1970-01-01 02:39:46.461,57.468,640,1.0,24.07,89.9,20.5
1970-01-01 02:39:46.967,57.437,640,1.0,24.90,47.1,19.3
1970-01-01 02:39:47.472,57.718,640,1.0,24.30,91.0,19.1
1970-01-01 02:39:47.978,57.625,640,1.0,24.18,77.3,17.9
1970-01-01 02:39:48.482,57.468,640,1.0,24.39,88.3,18.0
1970-01-01 02:39:48.989,57.562,640,1.0,23.11,90.2,17.7
1970-01-01 02:39:49.494,57.437,640,1.0,24.08,86.8,18.5
1970-01-01 02:39:50.000,57.312,640,1.0,24.38,98.0,17.5
1970-01-01 02:39:50.504,57.718,640,1.0,23.13,72.6,17.8
1970-01-01 02:39:51.011,57.218,640,1.0,23.45,48.0,19.7
1970-01-01 02:39:51.515,57.656,640,1.0,23.99,63.1,19.2
1970-01-01 02:39:52.021,57.5,640,1.0,24.02,58.5,19.0
1970-01-01 02:39:52.526,57.375,640,1.0,24.73,58.0,19.1
1970-01-01 02:39:53.031,57.593,640,1.0,24.39,92.6,18.7
1970-01-01 02:39:53.535,57.75,640,1.0,24.48,89.1,18.8
1970-01-01 02:39:54.042,57.312,640,1.0,24.39,75.3,18.0
1970-01-01 02:39:54.546,57.656,640,1.0,23.01,89.7,18.4
1970-01-01 02:39:55.052,57.562,640,1.0,23.96,89.3,23.3
1970-01-01 02:39:55.556,57.406,640,1.0,22.86,64.6,24.8
1970-01-01 02:39:56.059,57.281,640,1.0,23.21,68.7,19.6
1970-01-01 02:39:56.563,57.718,640,1.0,24.90,56.0,18.9
1970-01-01 02:39:57.070,57.312,640,0.25,8.38,0.0,15.1
1970-01-01 02:39:57.573,57.031,640,0.25,8.27,0.0,13.4
1970-01-01 02:39:58.079,56.968,640,0.25,8.31,0.0,13.1
1970-01-01 02:39:58.583,57.343,640,0.25,8.34,57.6,10.3
1970-01-01 02:39:59.089,56.937,640,0.25,8.34,69.8,10.4
1970-01-01 02:39:59.593,56.937,640,0.25,8.35,7.2,9.3
1970-01-01 02:40:00.099,56.937,640,0.25,8.26,0.0,10.1
1970-01-01 02:40:00.603,56.937,640,0.25,8.35,0.0,11.1
1970-01-01 02:40:01.112,57.0,640,0.25,8.34,90.1,11.7
1970-01-01 02:40:01.615,56.968,640,0.25,8.35,76.7,9.7
1970-01-01 02:40:02.122,56.937,640,0.25,8.35,0.0,9.7
1970-01-01 02:40:02.625,57.062,640,0.25,8.35,0.0,10.5
1970-01-01 02:40:03.131,56.906,640,0.25,8.34,25.8,9.8
1970-01-01 02:40:03.636,56.906,640,0.25,8.35,87.8,10.0
1970-01-01 02:40:04.142,56.937,640,0.25,8.35,25.3,10.6
1970-01-01 02:40:04.645,56.968,640,0.25,8.35,0.0,9.3
1970-01-01 02:40:05.151,56.812,640,0.25,8.34,0.0,9.9
1970-01-01 02:40:05.655,57.093,640,0.25,8.35,12.7,11.6
1970-01-01 02:40:06.161,56.875,640,0.25,8.35,81.3,11.5
1970-01-01 02:40:06.665,56.656,640,0.25,8.35,0.0,10.4
1970-01-01 02:40:07.171,56.718,640,0.25,8.35,0.0,10.2
1970-01-01 02:40:07.676,56.906,640,0.25,8.35,0.0,9.8
1970-01-01 02:40:08.182,56.75,640,0.25,8.27,75.7,10.2
1970-01-01 02:40:08.685,56.625,640,0.25,8.34,49.8,10.5
1970-01-01 02:40:09.192,56.687,640,0.25,8.35,0.0,10.9
1970-01-01 02:40:09.695,56.531,640,0.25,8.35,0.0,10.0
1970-01-01 02:40:10.202,56.656,640,0.25,8.35,7.2,11.8
1970-01-01 02:40:10.706,56.937,640,0.25,8.28,89.3,11.9
1970-01-01 02:40:11.212,56.656,640,0.25,8.35,61.3,10.2
1970-01-01 02:40:11.715,56.5,640,0.25,8.35,0.0,10.9
1970-01-01 02:40:12.219,56.687,640,0.25,8.35,0.0,9.2
1970-01-01 02:40:12.722,56.75,640,0.25,8.28,0.0,10.0
1970-01-01 02:40:13.229,56.687,640,0.25,8.36,86.8,9.3
1970-01-01 02:40:13.733,56.5,640,0.25,8.32,6.9,11.6
1970-01-01 02:40:14.239,56.281,640,0.25,8.35,0.0,9.2
1970-01-01 02:40:14.742,56.718,640,0.25,8.35,0.0,10.7
1970-01-01 02:40:15.249,56.5,640,0.25,8.35,27.8,10.9
1970-01-01 02:40:15.752,56.5,640,0.25,8.35,72.9,12.4
1970-01-01 02:40:16.258,56.468,640,0.25,8.27,0.0,11.1
1970-01-01 02:40:16.762,56.312,640,0.25,8.35,0.0,9.5
1970-01-01 02:40:17.269,56.5,640,0.25,8.36,0.0,9.5
1970-01-01 02:40:17.773,56.687,640,0.25,8.27,82.2,10.2
1970-01-01 02:40:18.279,56.5,640,0.25,8.35,27.8,10.6
1970-01-01 02:40:18.783,56.343,640,0.25,8.35,0.0,10.0
1970-01-01 02:40:19.289,56.437,640,0.25,8.35,0.0,9.7
1970-01-01 02:40:19.793,56.281,640,0.25,8.34,12.7,9.8
1970-01-01 02:40:20.300,56.343,640,0.25,8.35,86.2,11.5
1970-01-01 02:40:20.803,56.531,640,0.25,8.27,46.2,11.1
1970-01-01 02:40:21.309,56.406,640,0.25,8.35,0.0,9.7
1970-01-01 02:40:21.813,56.187,640,0.25,8.35,0.0,9.7
1970-01-01 02:40:22.319,56.312,640,0.25,8.36,70.0,10.7
1970-01-01 02:40:22.822,56.718,640,0.25,8.35,95.2,10.0
1970-01-01 02:40:23.328,56.625,640,0.25,8.35,10.2,9.2
1970-01-01 02:40:23.832,56.156,640,0.25,8.35,0.0,9.8
1970-01-01 02:40:24.338,56.25,640,0.25,8.35,0.0,11.1
1970-01-01 02:40:24.842,56.25,640,0.25,8.36,48.7,10.7
1970-01-01 02:40:25.348,56.656,640,0.25,8.35,69.8,11.1
1970-01-01 02:40:25.851,56.375,640,0.25,8.35,0.0,10.9
1970-01-01 02:40:26.357,56.218,640,0.25,8.27,0.0,10.4
1970-01-01 02:40:26.861,56.062,640,0.25,8.35,0.0,10.6
1970-01-01 02:40:27.368,56.281,640,0.25,8.34,81.7,10.4
1970-01-01 02:40:27.872,56.281,640,0.25,8.35,30.7,9.1
1970-01-01 02:40:28.378,56.406,640,0.25,8.35,0.0,9.9
1970-01-01 02:40:28.882,56.218,640,0.25,8.35,0.0,9.7
1970-01-01 02:40:29.388,56.062,640,0.25,8.35,14.7,10.6
1970-01-01 02:40:29.893,56.187,640,0.25,8.34,84.9,10.3
1970-01-01 02:40:30.399,56.125,640,0.25,8.35,0.0,11.0
1970-01-01 02:40:30.903,56.0,640,0.25,8.35,0.0,10.6
1970-01-01 02:40:31.409,56.343,640,0.25,8.35,0.0,10.8
1970-01-01 02:40:31.913,56.187,640,0.25,8.35,64.2,10.0
1970-01-01 02:40:32.419,56.062,640,0.25,8.35,89.3,10.2
1970-01-01 02:40:32.923,56.0,640,0.25,8.35,6.8,9.5
1970-01-01 02:40:33.429,56.281,640,0.25,8.34,0.0,9.7
1970-01-01 02:40:33.932,56.093,640,0.25,8.35,0.0,10.4
1970-01-01 02:40:34.439,56.406,640,0.25,8.35,57.9,10.3
1970-01-01 02:40:34.943,55.968,640,0.25,8.35,58.7,10.8
1970-01-01 02:40:35.449,56.0,640,0.25,8.35,0.0,10.6
1970-01-01 02:40:35.952,55.875,640,0.25,8.35,0.0,9.3
1970-01-01 02:40:36.459,56.218,640,0.25,8.35,0.0,10.9
1970-01-01 02:40:36.962,56.156,640,0.25,8.35,95.0,10.7
1970-01-01 02:40:37.469,56.187,640,0.25,8.35,19.6,9.0
1970-01-01 02:40:37.972,55.812,640,0.25,8.35,0.0,10.0
1970-01-01 02:40:38.478,55.937,640,0.25,8.35,0.0,9.4
1970-01-01 02:40:38.982,56.0,640,0.25,8.35,17.6,10.2
1970-01-01 02:40:39.489,56.312,640,0.25,8.35,78.8,10.0
1970-01-01 02:40:39.992,56.0,640,0.25,8.26,0.0,11.8
1970-01-01 02:40:40.499,55.937,640,0.25,8.35,0.0,11.0
1970-01-01 02:40:41.002,55.718,640,0.25,8.35,0.0,9.3
1970-01-01 02:40:41.508,56.187,640,0.25,8.33,80.8,9.8
1970-01-01 02:40:42.012,56.0,640,0.25,8.30,87.4,10.3
1970-01-01 02:40:42.518,56.062,640,0.25,8.36,0.0,9.2
1970-01-01 02:40:43.021,55.812,640,0.25,8.29,0.0,9.1
1970-01-01 02:40:43.527,55.843,640,0.25,8.35,12.7,10.6
1970-01-01 02:40:44.032,55.937,640,0.25,8.26,63.2,10.8
